品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
その他果実,2021/2/1,商物分離,13766,－,13766,－,－,－,－,－,－,－
だいこん,2021/2/2,せり・入札,2100,150,1350,100,－,200,－,200,－,100
だいこん,2021/2/2,相対,467799,32700,224454,15700,50950,41000,12205,44100,7690,39000
だいこん,2021/2/2,第三者販売,5760,5420,10,200,－,－,－,－,130,－
だいこん,2021/2/2,商物分離,16794,－,16794,－,－,－,－,－,－,－
かぶ,2021/2/2,せり・入札,475,－,475,－,－,－,－,－,－,－
かぶ,2021/2/2,相対,49264,－,35275,1500,3326,3200,1190,2000,1273,1500
かぶ,2021/2/2,商物分離,1592,－,1592,－,－,－,－,－,－,－
にんじん,2021/2/2,せり・入札,853,422,331,－,－,－,－,－,－,100
にんじん,2021/2/2,相対,263457,34761,103540,16000,45751,14400,6405,8300,9700,24600
にんじん,2021/2/2,第三者販売,6700,50,6150,－,－,－,－,－,500,－
にんじん,2021/2/2,商物分離,5407,－,5407,－,－,－,－,－,－,－
ごぼう,2021/2/2,相対,21057,2495,8196,500,2121,2600,1302,1000,143,2700
ごぼう,2021/2/2,第三者販売,440,－,440,－,－,－,－,－,－,－
ごぼう,2021/2/2,商物分離,1069,－,1069,－,－,－,－,－,－,－
キャベツ,2021/2/2,せり・入札,7160,2090,4570,100,－,200,－,100,－,100
キャベツ,2021/2/2,相対,739418,81545,376855,27900,101515,36400,18350,47300,8153,41400
キャベツ,2021/2/2,第三者販売,2780,1950,670,－,－,－,－,－,160,－
キャベツ,2021/2/2,商物分離,102075,－,102075,－,－,－,－,－,－,－
レタス,2021/2/2,せり・入札,532,－,82,100,－,150,－,100,－,100
レタス,2021/2/2,相対,184435,19220,96672,14400,14311,11850,1862,10900,1320,13900
レタス,2021/2/2,第三者販売,5400,70,4800,500,－,－,－,－,30,－
レタス,2021/2/2,商物分離,31781,－,31781,－,－,－,－,－,－,－
はくさい,2021/2/2,せり・入札,6137,－,5392,150,－,195,－,300,－,100
はくさい,2021/2/2,相対,598144,53354,348515,44850,31969,25605,17580,29700,2971,43600
はくさい,2021/2/2,第三者販売,11820,11220,600,－,－,－,－,－,－,－
はくさい,2021/2/2,商物分離,107700,－,96700,－,－,－,－,11000,－,－
こまつな,2021/2/2,せり・入札,4926,－,2445,200,165,100,16,－,－,2000
こまつな,2021/2/2,相対,36447,5607,16694,1800,3129,4500,578,3500,339,300
こまつな,2021/2/2,第三者販売,66,50,－,－,－,－,－,－,16,－
こまつな,2021/2/2,商物分離,1991,－,1991,－,－,－,－,－,－,－
ほうれんそう,2021/2/2,せり・入札,2507,1748,219,－,360,80,－,100,－,－
ほうれんそう,2021/2/2,相対,72450,8208,33631,5000,6833,3720,747,8300,2111,3900
ほうれんそう,2021/2/2,第三者販売,224,－,215,－,－,－,－,－,9,－
ほうれんそう,2021/2/2,商物分離,2489,－,2489,－,－,－,－,－,－,－
ねぎ,2021/2/2,せり・入札,2275,344,574,50,732,75,－,400,－,100
